Date,Price,Open,High,Low,Change %
6-Sep-18,1200.15,1197.23,1207.37,1195.61,0.28%
5-Sep-18,1196.75,1191.47,1198.72,1190.86,0.45%
4-Sep-18,1191.35,1201.67,1202.33,1189.53,-0.82%
3-Sep-18,1201.15,1200.29,1204.20,1195.64,0.01%
31-Aug-18,1201.09,1200.58,1209.17,1198.42,0.10%
30-Aug-18,1199.88,1206.58,1208.05,1196.20,-0.56%
29-Aug-18,1206.66,1201.31,1207.63,1200.89,0.45%
28-Aug-18,1201.26,1211.61,1214.67,1199.39,-0.83%
27-Aug-18,1211.34,1206.94,1212.63,1202.86,0.45%
24-Aug-18,1205.96,1185.41,1208.83,1183.12,1.74%
23-Aug-18,1185.31,1195.94,1196.84,1183.67,-0.85%
22-Aug-18,1195.51,1196.80,1201.84,1192.40,-0.05%
21-Aug-18,1196.13,1190.61,1197.13,1187.47,0.47%
20-Aug-18,1190.53,1183.74,1191.26,1182.61,0.49%
17-Aug-18,1184.77,1173.73,1185.34,1171.82,0.90%
16-Aug-18,1174.16,1175.57,1182.25,1160.19,-0.06%
15-Aug-18,1174.88,1194.41,1194.84,1173.03,-1.60%
14-Aug-18,1194.03,1194.19,1198.99,1191.99,0.03%
13-Aug-18,1193.64,1211.24,1214.07,1191.61,-1.46%
10-Aug-18,1211.30,1212.54,1217.29,1205.66,-0.09%
9-Aug-18,1212.34,1213.94,1217.64,1210.64,-0.10%
8-Aug-18,1213.60,1210.81,1216.20,1206.28,0.21%
7-Aug-18,1211.02,1207.54,1216.51,1207.54,0.34%
6-Aug-18,1206.94,1213.65,1218.21,1206.44,-0.53%
3-Aug-18,1213.43,1208.09,1220.38,1204.28,0.45%
2-Aug-18,1207.96,1215.46,1221.39,1207.03,-0.67%
1-Aug-18,1216.06,1223.97,1225.10,1215.58,-0.64%
31-Jul-18,1223.83,1221.78,1228.52,1214.48,0.17%
30-Jul-18,1221.80,1222.96,1225.44,1218.86,-0.13%
27-Jul-18,1223.38,1222.99,1227.51,1217.30,0.06%
26-Jul-18,1222.68,1231.34,1235.57,1222.13,-0.73%
25-Jul-18,1231.61,1224.34,1234.51,1223.02,0.58%
24-Jul-18,1224.55,1224.94,1229.76,1218.08,0.00%
23-Jul-18,1224.54,1231.55,1235.50,1222.07,-0.59%
20-Jul-18,1231.77,1223.33,1232.94,1215.70,0.73%
19-Jul-18,1222.80,1227.46,1229.07,1211.48,-0.36%
18-Jul-18,1227.18,1227.47,1229.54,1221.07,-0.03%
17-Jul-18,1227.52,1240.76,1245.31,1225.94,-1.07%
16-Jul-18,1240.82,1241.41,1245.90,1238.13,-0.06%
13-Jul-18,1241.52,1247.45,1248.27,1236.78,-0.45%
12-Jul-18,1247.15,1242.14,1248.93,1241.23,0.40%
11-Jul-18,1242.16,1255.88,1257.10,1241.28,-1.07%
10-Jul-18,1255.65,1257.68,1260.64,1247.16,-0.17%
9-Jul-18,1257.77,1255.13,1266.26,1255.02,0.22%
6-Jul-18,1254.98,1257.50,1258.96,1252.54,-0.22%
5-Jul-18,1257.76,1256.87,1259.99,1251.04,0.06%
